     .099,     .101,     .103,     .105,     .107,
     .109,     .111,     .113,     .115,     .117,
     .119,     .120,     .122,     .124,     .125,
     .127,


 CHEMICAL POTENTIAL neutrons :
   70.670,   66.356,   72.254,   75.054,   79.451,
   88.587,   93.419,   96.844,  101.992,  107.531,
  111.470,  114.110,  117.640,  121.317,  125.250,
  129.217,  134.736,  138.472,  141.624,  143.219,
  145.272,  147.310,  149.144,  151.232,  153.652,
  156.163,  159.596,  162.485,  164.975,  167.246,
  169.450,  171.205,  172.564,  173.613,  174.613,
  172.716,  173.533,  174.492,  175.793,  177.573,
  180.901,  182.952,  184.946,  186.879,  188.743,
  190.536,  192.177,  193.750,  195.252,  196.682,
  198.036,  199.311,  200.502,  201.576,  202.200,
  201.905,


 CHEMICAL POTENTIAL protons  :
   -9.385,  -19.442,  -21.617,  -26.237,  -30.171,
  -27.907,  -28.918,  -30.762,  -30.586,  -30.291,
  -31.661,  -33.942,  -35.090,  -36.176,  -37.234,
  -37.930,  -36.539,  -36.470,  -36.714,  -38.153,
  -38.767,  -39.341,  -40.226,  -41.490,  -42.630,
  -43.784,  -44.102,  -45.079,  -46.427,  -47.889,
  -49.159,  -50.291,  -51.577,  -52.980,  -54.270,
  -58.215,  -59.310,  -60.252,  -60.913,  -61.204,
  -60.579,  -61.511,  -62.633,  -63.904,  -65.289,
  -66.591,  -67.899,  -69.264,  -70.688,  -72.167,
  -73.692,  -75.254,  -76.839,  -78.458,  -80.421,
  -83.183,


 CHEMICAL POTENTIAL electrons :
   80.056,   85.798,   93.871,  101.291,  109.622,
  116.494,  122.337,  127.605,  132.578,  137.822,
  143.131,  148.053,  152.731,  157.493,  162.484,
  167.146,  171.274,  174.942,  178.338,  181.373,
  184.039,  186.651,  189.369,  192.723,  196.281,
  199.946,  203.698,  207.564,  211.402,  215.135,
  218.609,  221.496,  224.141,  226.593,  228.883,
  230.931,  232.844,  234.744,  236.706,  238.777,
  241.480,  244.463,  247.579,  250.783,  254.032,
  257.127,  260.076,  263.014,  265.940,  268.848,
  271.728,  274.565,  277.341,  280.034,  282.621,
  285.088,


 MUON ENERGY:
     .000,     .000,     .000,     .000,  108.065,
  112.266,  115.889,  119.192,  122.340,  125.689,
  129.107,  132.301,  135.355,  138.484,  141.782,
  144.879,  147.634,  150.091,  152.375,  154.421,
  156.222,  157.992,  159.837,  162.119,  164.547,
  167.054,  169.627,  172.285,  174.930,  177.510,
  179.914,  181.917,  183.754,  185.460,  187.055,
  188.483,  189.818,  191.145,  192.517,  193.966,
  195.860,  197.953,  200.142,  202.395,  204.684,
  206.867,  208.949,  211.025,  213.096,  215.156,
  217.198,  219.211,  221.183,  223.098,  224.939,
  226.696,


 ELECTRON ENERGY:
    1.805,    1.786,    2.048,    2.314,    2.720,
    3.036,    3.282,    3.496,    3.704,    3.965,
    4.257,    4.526,    4.784,    5.071,    5.407,
    5.718,    5.972,    6.176,    6.352,    6.486,
    6.577,    6.669,    6.783,    6.997,    7.249,
    7.527,    7.829,    8.159,    8.496,    8.827,
    9.126,    9.335,    9.509,    9.656,    9.781,
    9.869,    9.939,   10.010,   10.097,   10.206,
   10.428,   10.704,   11.010,   11.339,   11.684,
   12.008,   12.312,   12.621,   12.933,   13.248,
   13.564,   13.878,   14.185,   14.481,   14.760,
   15.018,


 TOTAL ENERGY:
    5.686,    7.209,    8.266,    9.428,   10.306,
   11.503,   12.992,   14.559,   16.220,   18.000,
   19.853,   21.741,   23.672,   25.636,   27.617,
   29.691,   31.941,   34.371,   36.910,   39.530,
   42.207,   44.921,   47.644,   50.282,   52.914,
   55.562,   58.248,   60.990,   63.768,   66.583,
   69.450,   72.420,   75.426,   78.451,   81.482,
   84.448,   87.374,   90.287,   93.193,   96.097,
   99.005,  101.913,  104.818,  107.718,  110.615,
  113.540,  116.494,  119.453,  122.415,  125.378,
  128.343,  131.309,  134.276,  137.244,  140.209,
  143.186,


Symmetri energi:
       .0148      3.8377
       .0297      7.6754
       .0445     11.5131
       .0593     15.3508
       .0741     18.3225
       .0890     19.9475
       .1038     21.3661
       .1186     22.7210
       .1335     24.2077
       .1483     25.6685
       .1631     26.9424
       .1779     28.1417
       .1928     29.3469
       .2076     30.5705
       .2224     31.7460
       .2372     32.7874
       .2521     33.7186
       .2669     34.6045
       .2817     35.5008
       .2966     36.4520
       .3114     37.4081
       .3262     38.3644
       .3410     39.3013
       .3559     40.2243
       .3707     41.1467
       .3855     42.0733
       .4004     43.0233
       .4152     44.0023
       .4300     44.9858
       .4448     45.9680
       .4597     46.9430
       .4745     47.9079
       .4893     48.8544
       .5042     49.7746
       .5190     50.6615
       .5338     51.5082
       .5486     52.2545
       .5635     52.9121
       .5783     53.5354
       .5931     54.1371
       .6079     54.7295
       .6228     55.3252
       .6376     56.0168
       .6524     56.7452
       .6673     57.4876
       .6821     58.2399
       .6969     58.9982
       .7117     59.7583
       .7266     60.5118
       .7414     61.2549
       .7562     61.9896
       .7711     62.7129
       .7859     63.4223
       .8007     64.1149
       .8155     64.7880
       .8304     65.3981
       .8452     65.9560
       .8600     66.4972
       .8749     67.0272
       .8897     67.5514
       .9045     68.0752
       .9193     68.6041
       .9342     69.1437
       .9490     69.7091
       .9638     70.2950
       .9786     70.9058
       .9935     71.5460
      1.0083     72.2198
      1.0231     72.9318
      1.0380     73.6864
      1.0528     74.4880
      1.0676     75.4401
      1.0824     76.4643
      1.0973     77.5328
      1.1121     78.6400
      1.1269     79.7803
      1.1418     80.9482
      1.1566     82.1379
      1.1714     83.3441
      1.1862     84.5610
      1.2011     85.8285
      1.2159     87.0964
      1.2307     88.3525
      1.2456     89.5877
      1.2604     90.7931
      1.2752     91.9596
      1.2900     93.0783
      1.3049     94.1400
      1.3197     95.1358
      1.3345     96.0567
      1.3493     96.8936
      1.3642     97.6375
      1.3790     98.2795
      1.3938     98.8104
      1.4087     99.2214
      1.4235     99.5032
      1.4383     99.6471
      1.4531     99.6438
      1.4680     99.4845
      1.4828     99.1600
      1.4828     99.1600

